group,category,service,zip_path
Database,,Amazon Aurora,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora_Amazon-RDS-Instance-Aternate_48.svg
Database,,Amazon Aurora MySQL Instance Alternate,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-MySQL-Instance-Alternate_48.svg
Database,,Amazon Aurora SQL Server Instance Alternate,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-SQL-Server-Instance-Alternate_48.png
Database,,Amazon Aurora PostgreSQL Instance Alternate,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-PostgreSQL-Instance-Alternate_48.svg
Database,,Amazon ElastiCache,Resource-Icons_02072025/Res_Database/Res_Amazon-ElastiCache_Cache-Node_48.png
Database,,Amazon Aurora MariaDB Instance Alternate,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-MariaDB-Instance-Alternate_48.png
Database,,Amazon Aurora PostgreSQL Instance,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-PostgreSQL-Instance_48.png
Database,,Amazon RDS Proxy Instance,Resource-Icons_02072025/Res_Database/Res_Amazon-RDS-Proxy-Instance_48.svg
Database,,Amazon Aurora MySQL Instance,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-MySQL-Instance_48.svg
Database,,Amazon Aurora PIOPS Instance,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-PIOPS-Instance_48.svg
Database,,Amazon RDS Proxy Instance Alternate,Resource-Icons_02072025/Res_Database/Res_Amazon-RDS-Proxy-Instance-Alternate_48.png
Database,,AWS Database Migration Service,Resource-Icons_02072025/Res_Database/Res_AWS-Database-Migration-Service_Database-migration-workflow-or-job_48.svg
Database,,Amazon Aurora MariaDB Instance,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-MariaDB-Instance_48.png
Database,,Amazon Aurora Instance,Resource-Icons_02072025/Res_Database/Res_Amazon-Aurora-Instance_48.png
Migration & Modernization,,AWS Transfer Family,Resource-Icons_02072025/Res_Migration-Modernization/Res_AWS-Transfer-Family_AWS-FTPS_48.svg
Migration & Modernization,,AWS Mainframe Modernization,Resource-Icons_02072025/Res_Migration-Modernization/Res_AWS-Mainframe-Modernization_Compiler_48.png
Migration & Modernization,,AWS Application Discovery Service,Resource-Icons_02072025/Res_Migration-Modernization/Res_AWS-Application-Discovery-Service_AWS-Discovery-Agent_48.png
Migration & Modernization,,AWS Migration Hub,Resource-Icons_02072025/Res_Migration-Modernization/Res_AWS-Migration-Hub_Refactor-Spaces-Environments_48.svg
Migration & Modernization,,AWS DataSync,Resource-Icons_02072025/Res_Migration-Modernization/Res_AWS-DataSync_Discovery_48.svg
Migration & Modernization,,AWS Datasync,Resource-Icons_02072025/Res_Migration-Modernization/Res_AWS-Datasync_Agent_48.svg
Media Services,,AWS Cloud Digital Interface,Resource-Icons_02072025/Res_Media-Services/Res_AWS-Cloud-Digital-Interface_48.png
Media Services,,AWS Elemental MediaConnect,Resource-Icons_02072025/Res_Media-Services/Res_AWS-Elemental-MediaConnect_MediaConnect-Gateway_48.png
Robotics,,AWS RoboMaker,Resource-Icons_02072025/Res_Robotics/Res_AWS-RoboMaker_Cloud-Extensions-ROS_48.svg
Front-End Web & Mobile,,Amazon Location Service,Resource-Icons_02072025/Res_Front-End-Web-Mobile/Res_Amazon-Location-Service_Map _48.png
Front-End Web & Mobile,,AWS Amplify,Resource-Icons_02072025/Res_Front-End-Web-Mobile/Res_AWS-Amplify_AWS-Amplify-Studio_48.svg
Developer Tools,,AWS Cloud9,Resource-Icons_02072025/Res_Developer-Tools/Res_AWS-Cloud9_Cloud9_48.png
Business Applications,,Amazon Simple Email Service,Resource-Icons_02072025/Res_Business-Applications/Res_Amazon-Simple-Email-Service_Email_48.svg
Business Applications,,Amazon Pinpoint,Resource-Icons_02072025/Res_Business-Applications/Res_Amazon-Pinpoint_Journey_48.png
48_Dark,,AWS Management Console,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_AWS-Management-Console_48_Dark.svg
48_Dark,,Users,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Users_48_Dark.png
48_Dark,,Logs,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Logs_48_Dark.png
48_Dark,,Disk,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Disk_48_Dark.svg
48_Dark,,Server,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Server_48_Dark.svg
48_Dark,,Globe,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Globe_48_Dark.svg
48_Dark,,Firewall,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Firewall_48_Dark.png
48_Dark,,Camera,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Camera_48_Dark.png
48_Dark,,Source Code,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Source-Code_48_Dark.svg
48_Dark,,Folder,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Folder_48_Dark.svg
48_Dark,,Authenticated User,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Authenticated-User_48_Dark.png
48_Dark,,Tape storage,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Tape-storage_48_Dark.svg
48_Dark,,Recover,Resource-Icons_02072025/Res_General-Icons/Res_48_Dark/Res_Recover_48_Dark.png
