icon_type,file_path,file_name,stem,dir_name,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Application-Auto-Scaling_32.svg,Arch_AWS-Application-Auto-Scaling_32.svg,Arch_AWS-Application-Auto-Scaling_32,32,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Launch-Wizard_32.svg,Arch_AWS-Launch-Wizard_32.svg,Arch_AWS-Launch-Wizard_32,32,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Resilience-Hub_32.svg,Arch_AWS-Resilience-Hub_32.svg,Arch_AWS-Resilience-Hub_32,32,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Proton_32.svg,Arch_AWS-Proton_32.svg,Arch_AWS-Proton_32,32,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Resource-Explorer_32.svg,Arch_AWS-Resource-Explorer_32.svg,Arch_AWS-Resource-Explorer_32,32,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Console-Mobile-Application_32.svg,Arch_AWS-Console-Mobile-Application_32.svg,Arch_AWS-Console-Mobile-Application_32,32,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-Managed-Grafana_32.svg,Arch_Amazon-Managed-Grafana_32.svg,Arch_Amazon-Managed-Grafana_32,32,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Well-Architected-Tool_32.svg,Arch_AWS-Well-Architected-Tool_32.svg,Arch_AWS-Well-Architected-Tool_32,32,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Distro-for-OpenTelemetry_32.svg,Arch_AWS-Distro-for-OpenTelemetry_32.svg,Arch_AWS-Distro-for-OpenTelemetry_32,32,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Management-Console_32.svg,Arch_AWS-Management-Console_32.svg,Arch_AWS-Management-Console_32,32,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Health-Dashboard_32.svg,Arch_AWS-Health-Dashboard_32.svg,Arch_AWS-Health-Dashboard_32,32,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-Managed-Service-for-Prometheus_32.svg,Arch_Amazon-Managed-Service-for-Prometheus_32.svg,Arch_Amazon-Managed-Service-for-Prometheus_32,32,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Backint-Agent_32.svg,Arch_AWS-Backint-Agent_32.svg,Arch_AWS-Backint-Agent_32,32,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Chatbot_32.svg,Arch_AWS-Chatbot_32.svg,Arch_AWS-Chatbot_32,32,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Telco-Network-Builder_32.svg,Arch_AWS-Telco-Network-Builder_32.svg,Arch_AWS-Telco-Network-Builder_32,32,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Auto-Scaling_32.svg,Arch_AWS-Auto-Scaling_32.svg,Arch_AWS-Auto-Scaling_32,32,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-User-Notifications_32.svg,Arch_AWS-User-Notifications_32.svg,Arch_AWS-User-Notifications_32,32,Arch AWS User Notifications,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Compute-Optimizer_32.svg,Arch_AWS-Compute-Optimizer_32.svg,Arch_AWS-Compute-Optimizer_32,32,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Management-Console_48.svg,Arch_AWS-Management-Console_48.svg,Arch_AWS-Management-Console_48,48,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Resource-Explorer_48.svg,Arch_AWS-Resource-Explorer_48.svg,Arch_AWS-Resource-Explorer_48,48,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Resilience-Hub_48.svg,Arch_AWS-Resilience-Hub_48.svg,Arch_AWS-Resilience-Hub_48,48,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Backint-Agent_48.svg,Arch_AWS-Backint-Agent_48.svg,Arch_AWS-Backint-Agent_48,48,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Well-Architected-Tool_48.svg,Arch_AWS-Well-Architected-Tool_48.svg,Arch_AWS-Well-Architected-Tool_48,48,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Service-Catalog_48.svg,Arch_AWS-Service-Catalog_48.svg,Arch_AWS-Service-Catalog_48,48,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Telco-Network-Builder_48.svg,Arch_AWS-Telco-Network-Builder_48.svg,Arch_AWS-Telco-Network-Builder_48,48,Arch AWS Telco Network Builder,,,,False
