number,value,datetime_start,datetime_complete,duration,params_lr0,params_lrf,params_momentum,params_optimizer,params_patience,params_weight_decay,state
10,0.7979558206876473,2025-12-10 04:45:54.899471,2025-12-10 04:51:34.163798,0 days 00:05:39.264327,0.00943276825840778,0.001012117386496661,0.971694298336776,AdamW,40,4.936311502865015e-05,COMPLETE
11,0.7949128426823294,2025-12-10 04:51:34.169165,2025-12-10 04:56:59.179935,0 days 00:05:25.010770,0.009329544017970091,0.0018337496974260778,0.9736078867494584,AdamW,40,6.0122638138705524e-06,COMPLETE
12,0.8014451308882662,2025-12-10 04:56:59.185418,2025-12-10 05:01:18.105235,0 days 00:04:18.919817,0.007924561136731208,0.001104187806738481,0.9616466143995049,AdamW,35,4.7488150775017766e-05,COMPLETE
13,0.7971839070135615,2025-12-10 05:01:18.110692,2025-12-10 05:05:24.602022,0 days 00:04:06.491330,0.0033736827961107357,0.023510228387999262,0.9596652742197672,AdamW,35,0.0001662090028622558,COMPLETE
14,0.8047775909406396,2025-12-10 05:05:24.607504,2025-12-10 05:10:53.987664,0 days 00:05:29.380160,0.0029800015102175617,0.06365057071279445,0.9579750647686242,AdamW,50,0.00038752564033965115,COMPLETE
15,0.7977748976821755,2025-12-10 05:10:53.993102,2025-12-10 05:14:48.281713,0 days 00:03:54.288611,0.0019018133133133052,0.06599192228628184,0.9490346693589039,AdamW,50,0.00038288939416513383,COMPLETE
16,0.802795687559287,2025-12-10 05:14:48.287130,2025-12-10 05:18:41.165323,0 days 00:03:52.878193,0.0017610515547644965,0.0768435132071141,0.9604809449183684,AdamW,50,0.0006330290190536968,COMPLETE
17,0.7971647966532465,2025-12-10 05:18:41.170854,2025-12-10 05:22:02.870639,0 days 00:03:21.699785,0.0015936417497938575,0.07867609591805735,0.9353427023444488,AdamW,50,0.0006391460989205172,COMPLETE
18,0.7876278362011276,2025-12-10 05:22:02.876035,2025-12-10 05:25:53.052296,0 days 00:03:50.176261,0.0015206439397664542,0.07912018356892796,0.9553648118599259,SGD,45,0.0006910806253174457,COMPLETE
19,0.8029179355849023,2025-12-10 05:25:53.057676,2025-12-10 05:31:13.223210,0 days 00:05:20.165534,0.002930268447966243,0.06869418130943168,0.9474169757875672,AdamW,45,0.0006649020966199376,COMPLETE
20,0.7985233332006232,2025-12-10 05:31:13.229081,2025-12-10 05:36:17.590650,0 days 00:05:04.361569,0.0031555121713636725,0.061121325437472424,0.9437285013951973,AdamW,45,0.0007743416210099409,COMPLETE
21,0.7979231465823996,2025-12-10 05:36:17.596380,2025-12-10 05:41:04.898836,0 days 00:04:47.302456,0.0024219718092562586,0.0739465457916558,0.9638107061975417,AdamW,50,0.0006179277510168838,COMPLETE
22,0.8012639118067265,2025-12-10 05:41:04.904544,2025-12-10 05:45:57.327416,0 days 00:04:52.422872,0.004992155432073699,0.08551764375145868,0.9481035023614179,AdamW,50,0.00045831040522290354,COMPLETE
23,0.7909161200548211,2025-12-10 05:45:57.332946,2025-12-10 05:49:11.088866,0 days 00:03:13.755920,0.0008966334998992472,0.06829792698887911,0.9368003981921524,AdamW,45,0.0006828319391047524,COMPLETE
24,0.8034135523818497,2025-12-10 05:49:11.094465,2025-12-10 05:54:47.804236,0 days 00:05:36.709771,0.005574829275065883,0.090006346508337,0.9563498467770621,AdamW,40,0.00038406970679185525,COMPLETE
25,0.7949516724443282,2025-12-10 05:54:47.809735,2025-12-10 05:58:57.432501,0 days 00:04:09.622766,0.005401272995869334,0.08801643477232991,0.9557672608930643,AdamW,40,0.0003454666135247057,COMPLETE
